code,name,shares,weight,market_value_100m
2330,台積電,279000,5.82,6.81
3702,大聯大,5267000,4.7,5.37
2383,台光電,89000,4.24,5.02
3706,神達投資控股,4854000,4.02,4.6
3653,健策,77000,3.89,4.53
2059,川湖科技,32000,3.88,4.53
2454,聯發科技,96000,3.59,4.14
6669,緯穎科技服務,134225,3.07,10.47
2441,超豐,2890000,2.93,3.35
2308,台達電,175000,2.65,3.26
3081,聯亞,84700,2.52,2.9
7769,鴻勁精密,50000,2.5,2.85
2368,金像電,219000,2.25,2.68
3037,欣興,262000,2.23,2.54
2408,南亞科技,479000,2.17,2.48
2357,華碩,238000,2.1,2.4
2382,廣達電腦,702500,2.07,2.37
6515,穎崴科技,33000,2.04,2.28
9941,裕融企業,2727480,1.97,2.25
2345,智邦科技,101000,1.89,2.23
6223,旺矽科技,40000,1.85,2.16
2887,台新新光金,4752360,1.71,1.96
3008,大立光,24000,1.64,1.82
3017,奇鋐科技,56000,1.62,1.91
5534,長虹建設,2382000,1.59,1.82
2885,元大金,2615040,1.53,1.74
2395,研華,251000,1.52,1.78
3026,禾伸堂,246000,1.48,1.69
5274,信驊科技,9000,1.4,1.54
3665,貿聯-KY,65000,1.23,1.5
2360,致茂電子,70000,1.21,1.42
2886,兆豐金,2700000,1.16,1.32
2892,第一金融控股,3651000,1.16,1.32
2884,玉山金融控股,3184000,1.13,1.29
2880,華南金控,2936388,1.11,1.26
2451,創見,393000,1.02,1.16
2890,永豐金融,2734780,1.01,1.15
4746,台耀化學,2276000,0.95,1.09
6805,富世達,51000,0.94,1.17
6274,台燿,75000,0.93,1.09
3293,鈊象電子,144000,0.89,1.02
2393,億光電子工業,1439000,0.83,0.95
5434,崇越,160000,0.75,0.86
6138,茂達電子,284000,0.72,0.82
5904,寶雅國際,1077000,0.69,0.79
2727,王品餐飲,321000,0.66,0.75
3227,原相,361000,0.62,0.71
4904,遠傳電信,650000,0.58,0.67
9958,世紀鋼鐵結構,685000,0.54,0.62
3090,日電貿,363000,0.54,0.61
6121,新  普,146000,0.52,0.59
4551,智伸科,313000,0.45,0.52
5439,高技,160000,0.38,0.43
2618,長榮航,956000,0.35,0.4
